damid,date,longitude,latitude,state,systemidx,watershed,neg_Longitude,neg_Latitude,geometry
SFKernRiver:200822:1,2020-08-22,-118.13642233498618,36.02848416399409,CA,00000000000000000026,SFKernRiver,-118.143418664539,36.02922437476896,
SFKernRiver:200822:1n,2020-08-22,-118.143418664539,36.02922437476896,CA,00000000000000000026,SFKernRiver,-118.143418664539,36.02922437476896,POINT (-118.143418664539 36.02922437476896)
SFKernRiver:200822:2,2020-08-22,-118.1358426518492,36.02248221397614,CA,00000000000000000027,SFKernRiver,-118.143418664539,36.02922437476896,
SFKernRiver:200822:2n,2020-08-22,-118.143418664539,36.02922437476896,CA,00000000000000000027,SFKernRiver,-118.143418664539,36.02922437476896,POINT (-118.143418664539 36.02922437476896)
SFKernRiver:200822:3,2020-08-22,-118.13837542124756,36.007923249036644,CA,00000000000000000028,SFKernRiver,-118.13371566064669,36.00038736825632,
SFKernRiver:200822:3n,2020-08-22,-118.13371566064669,36.00038736825632,CA,00000000000000000028,SFKernRiver,-118.13371566064669,36.00038736825632,POINT (-118.13371566064669 36.00038736825632)
SFKernRiver:200822:4,2020-08-22,-118.1412649187302,36.005452907053034,CA,00000000000000000029,SFKernRiver,-118.1356018603923,35.999129901759254,
SFKernRiver:200822:4n,2020-08-22,-118.1356018603923,35.999129901759254,CA,00000000000000000029,SFKernRiver,-118.1356018603923,35.999129901759254,POINT (-118.1356018603923 35.999129901759254)
SFKernRiver:200822:5,2020-08-22,-118.1410731773849,36.005038210655066,CA,0000000000000000002a,SFKernRiver,-118.1356018603923,35.999129901759254,
SFKernRiver:200822:5n,2020-08-22,-118.1356018603923,35.999129901759254,CA,0000000000000000002a,SFKernRiver,-118.1356018603923,35.999129901759254,POINT (-118.1356018603923 35.999129901759254)
SFKernRiver:200822:6,2020-08-22,-118.14237077579142,36.00506050616034,CA,0000000000000000002b,SFKernRiver,-118.1356018603923,35.999129901759254,
SFKernRiver:200822:6n,2020-08-22,-118.1356018603923,35.999129901759254,CA,0000000000000000002b,SFKernRiver,-118.1356018603923,35.999129901759254,POINT (-118.1356018603923 35.999129901759254)
SFKernRiver:200822:7,2020-08-22,-118.14403402048436,36.001056233414346,CA,0000000000000000002c,SFKernRiver,-118.1356018603923,35.999129901759254,
SFKernRiver:200822:7n,2020-08-22,-118.1356018603923,35.999129901759254,CA,0000000000000000002c,SFKernRiver,-118.1356018603923,35.999129901759254,POINT (-118.1356018603923 35.999129901759254)
SFKernRiver:200822:8,2020-08-22,-118.1442034663244,36.000467632075285,CA,0000000000000000002d,SFKernRiver,-118.1356018603923,35.999129901759254,
SFKernRiver:200822:8n,2020-08-22,-118.1356018603923,35.999129901759254,CA,0000000000000000002d,SFKernRiver,-118.1356018603923,35.999129901759254,POINT (-118.1356018603923 35.999129901759254)
SFKernRiver:200822:9,2020-08-22,-118.14873391299469,35.99647227753139,CA,0000000000000000002e,SFKernRiver,-118.15276048124592,36.00434259089072,
SFKernRiver:200822:9n,2020-08-22,-118.15276048124592,36.00434259089072,CA,0000000000000000002e,SFKernRiver,-118.15276048124592,36.00434259089072,POINT (-118.15276048124592 36.00434259089072)
SFKernRiver:200822:10,2020-08-22,-118.1502455482518,35.99538871597541,CA,0000000000000000002f,SFKernRiver,-118.15276048124592,36.00434259089072,
SFKernRiver:200822:10n,2020-08-22,-118.15276048124592,36.00434259089072,CA,0000000000000000002f,SFKernRiver,-118.15276048124592,36.00434259089072,POINT (-118.15276048124592 36.00434259089072)
SFKernRiver:200822:11,2020-08-22,-118.15078064037824,35.994822410141616,CA,00000000000000000030,SFKernRiver,-118.15276048124592,36.00434259089072,
SFKernRiver:200822:11n,2020-08-22,-118.15276048124592,36.00434259089072,CA,00000000000000000030,SFKernRiver,-118.15276048124592,36.00434259089072,POINT (-118.15276048124592 36.00434259089072)
SFKernRiver:200822:12,2020-08-22,-118.15032135296973,35.991531593564176,CA,00000000000000000031,SFKernRiver,-118.14682987684486,35.97990671711784,
SFKernRiver:200822:12n,2020-08-22,-118.14682987684486,35.97990671711784,CA,00000000000000000031,SFKernRiver,-118.14682987684486,35.97990671711784,POINT (-118.14682987684486 35.97990671711784)
SFKernRiver:200822:13,2020-08-22,-118.1467228584196,35.986796028245415,CA,00000000000000000032,SFKernRiver,-118.14682987684486,35.97990671711784,
SFKernRiver:200822:13n,2020-08-22,-118.14682987684486,35.97990671711784,CA,00000000000000000032,SFKernRiver,-118.14682987684486,35.97990671711784,POINT (-118.14682987684486 35.97990671711784)
SFKernRiver:200822:14,2020-08-22,-118.15996638854834,35.97042220917716,CA,00000000000000000033,SFKernRiver,-118.1462903256174,35.978560068599705,
SFKernRiver:200822:14n,2020-08-22,-118.1462903256174,35.978560068599705,CA,00000000000000000033,SFKernRiver,-118.1462903256174,35.978560068599705,POINT (-118.1462903256174 35.978560068599705)
SFKernRiver:200822:15,2020-08-22,-118.15970776068724,35.96981131233285,CA,00000000000000000034,SFKernRiver,-118.1462903256174,35.978560068599705,
SFKernRiver:200822:15n,2020-08-22,-118.1462903256174,35.978560068599705,CA,00000000000000000034,SFKernRiver,-118.1462903256174,35.978560068599705,POINT (-118.1462903256174 35.978560068599705)
SFKernRiver:200822:16,2020-08-22,-118.1609340134769,35.96212382211671,CA,00000000000000000035,SFKernRiver,-118.17710271389672,35.97676305087517,
SFKernRiver:200822:16n,2020-08-22,-118.17710271389672,35.97676305087517,CA,00000000000000000035,SFKernRiver,-118.17710271389672,35.97676305087517,POINT (-118.17710271389672 35.97676305087517)
SFKernRiver:200822:17,2020-08-22,-118.1607065993232,35.96136131583656,CA,00000000000000000036,SFKernRiver,-118.1462903256174,35.978560068599705,
SFKernRiver:200822:17n,2020-08-22,-118.1462903256174,35.978560068599705,CA,00000000000000000036,SFKernRiver,-118.1462903256174,35.978560068599705,POINT (-118.1462903256174 35.978560068599705)
SFKernRiver:200822:18,2020-08-22,-118.16184812919286,35.960540841242725,CA,00000000000000000037,SFKernRiver,-118.17710271389672,35.97676305087517,
SFKernRiver:200822:18n,2020-08-22,-118.17710271389672,35.97676305087517,CA,00000000000000000037,SFKernRiver,-118.17710271389672,35.97676305087517,POINT (-118.17710271389672 35.97676305087517)
SFKernRiver:200822:19,2020-08-22,-118.16305654557836,35.95964456193098,CA,00000000000000000038,SFKernRiver,-118.18464751287917,35.96373801669805,
SFKernRiver:200822:19n,2020-08-22,-118.18464751287917,35.96373801669805,CA,00000000000000000038,SFKernRiver,-118.18464751287917,35.96373801669805,POINT (-118.18464751287917 35.96373801669805)
SFKernRiver:200822:20,2020-08-22,-118.16243673053192,35.958645723295014,CA,00000000000000000039,SFKernRiver,-118.18464751287917,35.96373801669805,
SFKernRiver:200822:20n,2020-08-22,-118.18464751287917,35.96373801669805,CA,00000000000000000039,SFKernRiver,-118.18464751287917,35.96373801669805,POINT (-118.18464751287917 35.96373801669805)
SFKernRiver:200822:21,2020-08-22,-118.1607065993232,35.9555154343555,CA,0000000000000000003a,SFKernRiver,-118.17773144714526,35.93966333011049,
SFKernRiver:200822:21n,2020-08-22,-118.17773144714526,35.93966333011049,CA,0000000000000000003a,SFKernRiver,-118.17773144714526,35.93966333011049,POINT (-118.17773144714526 35.93966333011049)
SFKernRiver:200822:22,2020-08-22,-118.16152261481596,35.9550739833512,CA,0000000000000000003b,SFKernRiver,-118.17773144714526,35.93966333011049,
SFKernRiver:200822:22n,2020-08-22,-118.17773144714526,35.93966333011049,CA,0000000000000000003b,SFKernRiver,-118.17773144714526,35.93966333011049,POINT (-118.17773144714526 35.93966333011049)
SFKernRiver:200822:23,2020-08-22,-118.16236092581404,35.95440957729424,CA,0000000000000000003c,SFKernRiver,-118.17773144714526,35.93966333011049,
SFKernRiver:200822:23n,2020-08-22,-118.17773144714526,35.93966333011049,CA,0000000000000000003c,SFKernRiver,-118.17773144714526,35.93966333011049,POINT (-118.17773144714526 35.93966333011049)
SFKernRiver:200822:24,2020-08-22,-118.16348461927949,35.95419554044368,CA,0000000000000000003d,SFKernRiver,-118.17773144714526,35.93966333011049,
SFKernRiver:200822:24n,2020-08-22,-118.17773144714526,35.93966333011049,CA,0000000000000000003d,SFKernRiver,-118.17773144714526,35.93966333011049,POINT (-118.17773144714526 35.93966333011049)
SFKernRiver:200822:25,2020-08-22,-118.18369326525372,35.97031964985293,CA,0000000000000000003e,SFKernRiver,-118.18500870006449,35.96472793713191,
SFKernRiver:200822:25n,2020-08-22,-118.18500870006449,35.96472793713191,CA,0000000000000000003e,SFKernRiver,-118.18500870006449,35.96472793713191,POINT (-118.18500870006449 35.96472793713191)
SFKernRiver:200822:26,2020-08-22,-118.18073242215424,35.95992548529735,CA,0000000000000000003f,SFKernRiver,-118.18464751287917,35.96373801669805,
SFKernRiver:200822:26n,2020-08-22,-118.18464751287917,35.96373801669805,CA,0000000000000000003f,SFKernRiver,-118.18464751287917,35.96373801669805,POINT (-118.18464751287917 35.96373801669805)
SFKernRiver:200822:27,2020-08-22,-118.17919849139184,35.96027775428057,CA,00000000000000000040,SFKernRiver,-118.18464751287917,35.96373801669805,
SFKernRiver:200822:27n,2020-08-22,-118.18464751287917,35.96373801669805,CA,00000000000000000040,SFKernRiver,-118.18464751287917,35.96373801669805,POINT (-118.18464751287917 35.96373801669805)
SFKernRiver:200822:28,2020-08-22,-118.17374501080349,35.96119186999653,CA,00000000000000000041,SFKernRiver,-118.18464751287917,35.96373801669805,
SFKernRiver:200822:28n,2020-08-22,-118.18464751287917,35.96373801669805,CA,00000000000000000041,SFKernRiver,-118.18464751287917,35.96373801669805,POINT (-118.18464751287917 35.96373801669805)
SFKernRiver:200822:29,2020-08-22,-118.16828261201302,35.95791443072225,CA,00000000000000000042,SFKernRiver,-118.18464751287917,35.96373801669805,
SFKernRiver:200822:29n,2020-08-22,-118.18464751287917,35.96373801669805,CA,00000000000000000042,SFKernRiver,-118.18464751287917,35.96373801669805,POINT (-118.18464751287917 35.96373801669805)
