damid,date,longitude,latitude,state,systemidx,watershed
SFKernRiver:200822:1,2020-08-22,-118.13642233498618,36.02848416399409,CA,00000000000000000026,SFKernRiver
SFKernRiver:200822:2,2020-08-22,-118.13584265184919,36.02248221397614,CA,00000000000000000027,SFKernRiver
SFKernRiver:200822:3,2020-08-22,-118.13837542124756,36.007923249036644,CA,00000000000000000028,SFKernRiver
SFKernRiver:200822:4,2020-08-22,-118.14126491873019,36.005452907053034,CA,00000000000000000029,SFKernRiver
SFKernRiver:200822:5,2020-08-22,-118.1410731773849,36.005038210655066,CA,0000000000000000002a,SFKernRiver
SFKernRiver:200822:6,2020-08-22,-118.14237077579142,36.00506050616034,CA,0000000000000000002b,SFKernRiver
SFKernRiver:200822:7,2020-08-22,-118.14403402048436,36.001056233414346,CA,0000000000000000002c,SFKernRiver
SFKernRiver:200822:8,2020-08-22,-118.14420346632441,36.000467632075285,CA,0000000000000000002d,SFKernRiver
SFKernRiver:200822:9,2020-08-22,-118.14873391299469,35.99647227753139,CA,0000000000000000002e,SFKernRiver
SFKernRiver:200822:10,2020-08-22,-118.1502455482518,35.99538871597541,CA,0000000000000000002f,SFKernRiver
SFKernRiver:200822:11,2020-08-22,-118.15078064037823,35.994822410141616,CA,00000000000000000030,SFKernRiver
SFKernRiver:200822:12,2020-08-22,-118.15032135296971,35.991531593564176,CA,00000000000000000031,SFKernRiver
SFKernRiver:200822:13,2020-08-22,-118.1467228584196,35.986796028245415,CA,00000000000000000032,SFKernRiver
SFKernRiver:200822:14,2020-08-22,-118.15996638854834,35.97042220917716,CA,00000000000000000033,SFKernRiver
SFKernRiver:200822:15,2020-08-22,-118.15970776068723,35.96981131233285,CA,00000000000000000034,SFKernRiver
SFKernRiver:200822:16,2020-08-22,-118.1609340134769,35.96212382211671,CA,00000000000000000035,SFKernRiver
SFKernRiver:200822:17,2020-08-22,-118.16070659932319,35.96136131583656,CA,00000000000000000036,SFKernRiver
SFKernRiver:200822:18,2020-08-22,-118.16184812919286,35.960540841242725,CA,00000000000000000037,SFKernRiver
SFKernRiver:200822:19,2020-08-22,-118.16305654557836,35.95964456193098,CA,00000000000000000038,SFKernRiver
SFKernRiver:200822:20,2020-08-22,-118.16243673053192,35.958645723295014,CA,00000000000000000039,SFKernRiver
SFKernRiver:200822:21,2020-08-22,-118.16070659932319,35.9555154343555,CA,0000000000000000003a,SFKernRiver
SFKernRiver:200822:22,2020-08-22,-118.16152261481596,35.9550739833512,CA,0000000000000000003b,SFKernRiver
SFKernRiver:200822:23,2020-08-22,-118.16236092581403,35.95440957729424,CA,0000000000000000003c,SFKernRiver
SFKernRiver:200822:24,2020-08-22,-118.16348461927949,35.95419554044368,CA,0000000000000000003d,SFKernRiver
SFKernRiver:200822:25,2020-08-22,-118.18369326525371,35.97031964985293,CA,0000000000000000003e,SFKernRiver
SFKernRiver:200822:26,2020-08-22,-118.18073242215424,35.95992548529735,CA,0000000000000000003f,SFKernRiver
SFKernRiver:200822:27,2020-08-22,-118.17919849139184,35.96027775428057,CA,00000000000000000040,SFKernRiver
SFKernRiver:200822:28,2020-08-22,-118.17374501080349,35.96119186999653,CA,00000000000000000041,SFKernRiver
SFKernRiver:200822:29,2020-08-22,-118.16828261201302,35.95791443072225,CA,00000000000000000042,SFKernRiver
SFKernRiver:200822:30,2020-08-22,-118.16811316617296,35.957731607579056,CA,00000000000000000043,SFKernRiver
SFKernRiver:200822:31,2020-08-22,-118.16789467022134,35.95742392960638,CA,00000000000000000044,SFKernRiver
SFKernRiver:200822:32,2020-08-22,-118.20597985231886,35.964870628365624,CA,00000000000000000045,SFKernRiver
SFKernRiver:200822:33,2020-08-22,-118.20460644919439,35.96550382071522,CA,00000000000000000046,SFKernRiver
SFKernRiver:200822:34,2020-08-22,-118.19677180864346,35.958101712966496,CA,00000000000000000047,SFKernRiver
SFKernRiver:200822:35,2020-08-22,-118.19588444753383,35.957972399035945,CA,00000000000000000048,SFKernRiver
SFKernRiver:200822:36,2020-08-22,-118.19538948731689,35.95791443072224,CA,00000000000000000049,SFKernRiver
SFKernRiver:200822:37,2020-08-22,-118.1951308594558,35.95767809836641,CA,0000000000000000004a,SFKernRiver
SFKernRiver:200822:38,2020-08-22,-118.18973534718113,35.95276416900552,CA,0000000000000000004b,SFKernRiver
SFKernRiver:200822:39,2020-08-22,-118.18311358211676,35.95336614764774,CA,0000000000000000004c,SFKernRiver
SFKernRiver:200822:40,2020-08-22,-118.17522989145428,35.945580557208416,CA,0000000000000000004d,SFKernRiver
SFKernRiver:200822:41,2020-08-22,-118.17441387596149,35.946129026638,CA,0000000000000000004e,SFKernRiver
SFKernRiver:200822:42,2020-08-22,-118.1740125568667,35.94601754911165,CA,0000000000000000004f,SFKernRiver
SFKernRiver:200822:43,2020-08-22,-118.17285319059282,35.9446441459872,CA,00000000000000000050,SFKernRiver
SFKernRiver:200822:44,2020-08-22,-118.17243403509377,35.94364084825016,CA,00000000000000000051,SFKernRiver
SFKernRiver:200822:45,2020-08-22,-118.17279968138018,35.94214704939726,CA,00000000000000000052,SFKernRiver
SFKernRiver:200822:46,2020-08-22,-118.17234931217376,35.941866126030895,CA,00000000000000000053,SFKernRiver
SFKernRiver:200822:47,2020-08-22,-118.16457263993655,35.94132211570238,CA,00000000000000000054,SFKernRiver
SFKernRiver:200822:48,2020-08-22,-118.16333746894476,35.93401810817682,CA,00000000000000000055,SFKernRiver
SFKernRiver:200822:49,2020-08-22,-118.16306992288153,35.93391108975155,CA,00000000000000000056,SFKernRiver
SFKernRiver:200822:50,2020-08-22,-118.16344448737001,35.933277897401965,CA,00000000000000000057,SFKernRiver
SFKernRiver:200822:51,2020-08-22,-118.16727485517497,35.926687346044964,CA,00000000000000000058,SFKernRiver
SFKernRiver:200822:52,2020-08-22,-118.16758699224866,35.924578191246695,CA,00000000000000000059,SFKernRiver
SFKernRiver:200822:53,2020-08-22,-118.1677163061792,35.92429726788032,CA,0000000000000000005a,SFKernRiver
SFKernRiver:200822:54,2020-08-22,-118.16788575201925,35.922794550825316,CA,0000000000000000005b,SFKernRiver
SFKernRiver:200822:55,2020-08-22,-118.18539218275511,35.905479861434785,CA,0000000000000000005c,SFKernRiver
SFKernRiver:200822:56,2020-08-22,-118.18929389617684,35.89233889063026,CA,0000000000000000005d,SFKernRiver
SFKernRiver:200822:57,2020-08-22,-118.1434543373474,36.003985862806445,CA,0000000000000000005e,SFKernRiver
SFKernRiver:200822:58,2020-08-22,-118.1590790274387,35.971817907806894,CA,0000000000000000005f,SFKernRiver
SFKernRiver:200822:59,2020-08-22,-118.1588382359818,35.97252244577334,CA,00000000000000000060,SFKernRiver
SFKernRiver:160715:1,2016-07-15,-118.1364446304914,36.0285688869141,CA,00000000000000000061,SFKernRiver
SFKernRiver:160715:2,2016-07-15,-118.13722051407471,36.01241356379747,CA,00000000000000000062,SFKernRiver
SFKernRiver:160715:3,2016-07-15,-118.13843338956123,36.00913166542214,CA,00000000000000000063,SFKernRiver
SFKernRiver:160715:4,2016-07-15,-118.14126491873019,36.005479661659365,CA,00000000000000000064,SFKernRiver
SFKernRiver:160715:5,2016-07-15,-118.14237077579142,36.00506050616034,CA,00000000000000000065,SFKernRiver
SFKernRiver:160715:6,2016-07-15,-118.14290586791785,36.00492227402767,CA,00000000000000000066,SFKernRiver
SFKernRiver:160715:7,2016-07-15,-118.14402956138333,36.001100824424874,CA,00000000000000000067,SFKernRiver
SFKernRiver:160715:8,2016-07-15,-118.14435507576023,36.000860032967985,CA,00000000000000000068,SFKernRiver
SFKernRiver:160715:9,2016-07-15,-118.14872945389364,35.99649011393561,CA,00000000000000000069,SFKernRiver
SFKernRiver:160715:10,2016-07-15,-118.15022325274654,35.99538871597541,CA,0000000000000000006a,SFKernRiver
SFKernRiver:160715:11,2016-07-15,-118.15075834487297,35.99484916474795,CA,0000000000000000006b,SFKernRiver
SFKernRiver:160715:12,2016-07-15,-118.15025892555498,35.99103217424619,CA,0000000000000000006c,SFKernRiver
SFKernRiver:160715:13,2016-07-15,-118.14655341257955,35.986920883074916,CA,0000000000000000006d,SFKernRiver
SFKernRiver:160715:14,2016-07-15,-118.14938940084956,35.98550288893992,CA,0000000000000000006e,SFKernRiver
SFKernRiver:160715:15,2016-07-15,-118.15477599492213,35.98031695441476,CA,0000000000000000006f,SFKernRiver
SFKernRiver:160715:16,2016-07-15,-118.15503908188428,35.97971051667149,CA,00000000000000000070,SFKernRiver
SFKernRiver:160715:17,2016-07-15,-118.15997530675045,35.97046234108665,CA,00000000000000000071,SFKernRiver
SFKernRiver:160715:18,2016-07-15,-118.16238322131929,35.95852086846551,CA,00000000000000000072,SFKernRiver
SFKernRiver:160715:19,2016-07-15,-118.16190163840552,35.95802144914753,CA,00000000000000000073,SFKernRiver
SFKernRiver:160715:20,2016-07-15,-118.16034095303682,35.95607728108823,CA,00000000000000000074,SFKernRiver
SFKernRiver:160715:21,2016-07-15,-118.16195514761817,35.95447200470899,CA,00000000000000000075,SFKernRiver
SFKernRiver:160715:22,2016-07-15,-118.16345340557211,35.95423121325211,CA,00000000000000000076,SFKernRiver
SFKernRiver:160715:23,2016-07-15,-118.1640776797196,35.953705039327794,CA,00000000000000000077,SFKernRiver
SFKernRiver:160715:24,2016-07-15,-118.16646775788425,35.946316308882245,CA,00000000000000000078,SFKernRiver
SFKernRiver:160715:25,2016-07-15,-118.16586132014096,35.945950662595855,CA,00000000000000000079,SFKernRiver
SFKernRiver:160715:26,2016-07-15,-118.16835841673091,35.94287834197003,CA,0000000000000000007a,SFKernRiver
SFKernRiver:160715:27,2016-07-15,-118.20186410204651,35.9646342960098,CA,0000000000000000007b,SFKernRiver
SFKernRiver:160715:28,2016-07-15,-118.19698138639299,35.95846735925288,CA,0000000000000000007c,SFKernRiver
SFKernRiver:160715:29,2016-07-15,-118.19675397223925,35.95811954937071,CA,0000000000000000007d,SFKernRiver
SFKernRiver:160715:30,2016-07-15,-118.19534489630641,35.95790105341908,CA,0000000000000000007e,SFKernRiver
SFKernRiver:160715:31,2016-07-15,-118.19211650714367,35.95462807324586,CA,0000000000000000007f,SFKernRiver
SFKernRiver:160715:32,2016-07-15,-118.19135400086353,35.95390569887521,CA,00000000000000000080,SFKernRiver
SFKernRiver:160715:33,2016-07-15,-118.19073418581712,35.953089683382416,CA,00000000000000000081,SFKernRiver
SFKernRiver:160715:34,2016-07-15,-118.17849841252645,35.950093167474506,CA,00000000000000000082,SFKernRiver
SFKernRiver:160715:35,2016-07-15,-118.17705366378513,35.94712340617291,CA,00000000000000000083,SFKernRiver
SFKernRiver:160715:36,2016-07-15,-118.17594780672385,35.946044303717976,CA,00000000000000000084,SFKernRiver
SFKernRiver:160715:37,2016-07-15,-118.17319654137391,35.944733328008255,CA,00000000000000000085,SFKernRiver
SFKernRiver:160715:38,2016-07-15,-118.17294237261385,35.94472440980615,CA,00000000000000000086,SFKernRiver
SFKernRiver:160715:39,2016-07-15,-118.17239390318427,35.944207154083955,CA,00000000000000000087,SFKernRiver
SFKernRiver:160715:40,2016-07-15,-118.17230026206215,35.94397082172813,CA,00000000000000000088,SFKernRiver
SFKernRiver:160715:41,2016-07-15,-118.16230741660138,35.93960982089786,CA,00000000000000000089,SFKernRiver
SFKernRiver:160715:42,2016-07-15,-118.16267306288779,35.938927578436676,CA,0000000000000000008a,SFKernRiver
SFKernRiver:160715:43,2016-07-15,-118.16314572759944,35.93465130052642,CA,0000000000000000008b,SFKernRiver
SFKernRiver:160715:44,2016-07-15,-118.16361393321004,35.93457103670747,CA,0000000000000000008c,SFKernRiver
SFKernRiver:160715:45,2016-07-15,-118.16332409164157,35.933986894469456,CA,0000000000000000008d,SFKernRiver
SFKernRiver:160715:46,2016-07-15,-118.16304762737626,35.93389325334733,CA,0000000000000000008e,SFKernRiver
SFKernRiver:160715:47,2016-07-15,-118.16320815501417,35.93369705290098,CA,0000000000000000008f,SFKernRiver
SFKernRiver:160715:48,2016-07-15,-118.16448345791547,35.93381298952837,CA,00000000000000000090,SFKernRiver
SFKernRiver:160715:49,2016-07-15,-118.16344448737001,35.933282356503014,CA,00000000000000000091,SFKernRiver
SFKernRiver:160715:50,2016-07-15,-118.16599955227363,35.93198475809647,CA,00000000000000000092,SFKernRiver
SFKernRiver:160715:51,2016-07-15,-118.16587023834312,35.93185990326697,CA,00000000000000000093,SFKernRiver
SFKernRiver:160715:52,2016-07-15,-118.1672302641644,35.92667396874181,CA,00000000000000000094,SFKernRiver
SFKernRiver:160715:53,2016-07-15,-118.16788575201925,35.92279009172425,CA,00000000000000000095,SFKernRiver
SFKernRiver:160715:54,2016-07-15,-118.16729715068018,35.919735607502645,CA,00000000000000000096,SFKernRiver
SFKernRiver:160715:55,2016-07-15,-118.16526825970088,35.91810803561814,CA,00000000000000000097,SFKernRiver
SFKernRiver:160715:56,2016-07-15,-118.16571862890727,35.91624413137779,CA,00000000000000000098,SFKernRiver
SFKernRiver:160715:57,2016-07-15,-118.16690920888854,35.91462993679645,CA,00000000000000000099,SFKernRiver
SFKernRiver:160715:58,2016-07-15,-118.16697609540435,35.91393431703212,CA,0000000000000000009a,SFKernRiver
SFKernRiver:160715:59,2016-07-15,-118.1697674926638,35.91186083504227,CA,0000000000000000009b,SFKernRiver
SFKernRiver:160715:60,2016-07-15,-118.16937063267007,35.91077281438522,CA,0000000000000000009c,SFKernRiver
SFKernRiver:160715:61,2016-07-15,-118.16918335042581,35.910465136412526,CA,0000000000000000009d,SFKernRiver
SFKernRiver:160715:62,2016-07-15,-118.16936617356899,35.91041162719989,CA,0000000000000000009e,SFKernRiver
SFKernRiver:160715:63,2016-07-15,-118.17080646320927,35.910763896183106,CA,0000000000000000009f,SFKernRiver
SFKernRiver:160715:64,2016-07-15,-118.17114089578827,35.91069700966731,CA,000000000000000000a0,SFKernRiver
SFKernRiver:160715:65,2016-07-15,-118.17038730771023,35.91037595439146,CA,000000000000000000a1,SFKernRiver
SFKernRiver:160715:66,2016-07-15,-118.16997707041332,35.909925585185064,CA,000000000000000000a2,SFKernRiver
SFKernRiver:160715:67,2016-07-15,-118.17108292747456,35.91013516293457,CA,000000000000000000a3,SFKernRiver
SFKernRiver:160715:68,2016-07-15,-118.17250092160955,35.90976505754714,CA,000000000000000000a4,SFKernRiver
SFKernRiver:160715:69,2016-07-15,-118.17372271529824,35.90989883057874,CA,000000000000000000a5,SFKernRiver
SFKernRiver:160715:70,2016-07-15,-118.17826208017061,35.90958223440395,CA,000000000000000000a6,SFKernRiver
SFKernRiver:160715:71,2016-07-15,-118.17844936241484,35.90813748566263,CA,000000000000000000a7,SFKernRiver
SFKernRiver:160715:72,2016-07-15,-118.18100888641953,35.906318172432826,CA,000000000000000000a8,SFKernRiver
SFKernRiver:160715:73,2016-07-15,-118.1853252962393,35.905595798062166,CA,000000000000000000a9,SFKernRiver
SFKernRiver:160715:74,2016-07-15,-118.1880319705787,35.902251472272084,CA,000000000000000000aa,SFKernRiver
SFKernRiver:160715:75,2016-07-15,-118.18973534718113,35.90053025926545,CA,000000000000000000ab,SFKernRiver
SFKernRiver:160715:76,2016-07-15,-118.18846896248198,35.89642342719524,CA,000000000000000000ac,SFKernRiver
SFKernRiver:160715:77,2016-07-15,-118.18691273621432,35.8946353276728,CA,000000000000000000ad,SFKernRiver
SFKernRiver:160715:78,2016-07-15,-118.1869796227301,35.8941180719506,CA,000000000000000000ae,SFKernRiver
