Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_035031_20160104_20200907_02_T1,LC08_L1TP_035031_20160104_20200907_02_T1,LC80350312016004LGN01,2016/01/04,T1,2, 035, 031, 035, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-04 17:49:04.737622,2016-01-04 17:49:36.507618,LGN,DAY,  21.95,  21.95,269,5,    9.307,    6.550,    6.613,LPGS_15.3.1c,22.72313048,159.27485877,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,41°45'33.88"N,106°51'25.92"W,42°47'56.87"N,108°20'00.46"W,42°50'48.52"N,105°26'48.12"W,40°38'46.93"N,108°13'26"W,40°41'26.12"N,105°25'55.13"W, 41.75941,-106.85720, 42.79913,-108.33346, 42.84681,-105.44670, 40.64637,-108.22389, 40.69059,-105.43198,LC08_L2SP_035031_20160104_20200907_02_T1,LC80350312016004LGN01
LC08_L2SP_035032_20160104_20200907_02_T1,LC08_L1TP_035032_20160104_20200907_02_T1,LC80350322016004LGN01,2016/01/04,T1,2, 035, 032, 035, 032,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-04 17:49:28.615951,2016-01-04 17:50:00.385948,LGN,DAY,   0.63,   0.63,511,5,    8.971,    5.888,    6.769,LPGS_15.3.1c,23.95673012,158.70581829,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,40°19'58.80"N,107°19'09.44"W,41°22'12.36"N,108°46'07.18"W,41°25'40.69"N,105°56'48.01"W,39°12'54.36"N,108°39'02.34"W,39°16'07.46"N,105°55'01.02"W, 40.33300,-107.31929, 41.37010,-108.76866, 41.42797,-105.94667, 39.21510,-108.65065, 39.26874,-105.91695,LC08_L2SP_035032_20160104_20200907_02_T1,LC80350322016004LGN01
LC08_L2SP_035033_20160104_20200907_02_T1,LC08_L1TP_035033_20160104_20200907_02_T1,LC80350332016004LGN01,2016/01/04,T1,2, 035, 033, 035, 033,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-04 17:49:52.502753,2016-01-04 17:50:24.272749,LGN,DAY,  26.40,  26.40,526,5,    9.019,    5.950,    6.778,LPGS_15.3.1c,25.18651213,158.12978022,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,38°54'16.52"N,107°45'59.76"W,39°56'23.57"N,109°11'27.06"W,40°00'24.95"N,106°25'33.06"W,37°46'57.79"N,109°03'57.17"W,37°50'41.39"N,106°22'59.52"W, 38.90459,-107.76660, 39.93988,-109.19085, 40.00693,-106.42585, 37.78272,-109.06588, 37.84483,-106.38320,LC08_L2SP_035033_20160104_20200907_02_T1,LC80350332016004LGN01
LC08_L2SP_033031_20160106_20200907_02_T1,LC08_L1TP_033031_20160106_20200907_02_T1,LC80330312016006LGN01,2016/01/06,T1,2, 033, 031, 033, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-06 17:36:42.159765,2016-01-06 17:37:13.929762,LGN,DAY,   0.55,   0.55,214,5,    8.249,    6.063,    5.594,LPGS_15.3.1c,22.87751208,158.99068396,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,41°45'35.35"N,103°45'49"W,42°49'04.26"N,105°09'23.69"W,42°47'12.77"N,102°19'56.10"W,40°42'17.32"N,105°09'05.47"W,40°40'33.71"N,102°25'05.70"W, 41.75982,-103.76361, 42.81785,-105.15658, 42.78688,-102.33225, 40.70481,-105.15152, 40.67603,-102.41825,LC08_L2SP_033031_20160106_20200907_02_T1,LC80330312016006LGN01
LC08_L2SP_033032_20160106_20200907_02_T1,LC08_L1TP_033032_20160106_20200907_02_T1,LC80330322016006LGN01,2016/01/06,T1,2, 033, 032, 033, 032,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-06 17:37:06.046566,2016-01-06 17:37:37.816563,LGN,DAY,  19.70,  19.70,305,5,    8.902,    6.041,    6.539,LPGS_15.3.1c,24.10764847,158.41632871,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,40°19'58.62"N,104°13'33.17"W,41°23'13.52"N,105°35'39.98"W,41°22'05.56"N,102°49'56.03"W,39°16'15.31"N,105°34'34.18"W,39°15'12.20"N,102°53'55.86"W, 40.33295,-104.22588, 41.38709,-105.59444, 41.36821,-102.83223, 39.27092,-105.57616, 39.25339,-102.89885,LC08_L2SP_033032_20160106_20200907_02_T1,LC80330322016006LGN01
LC08_L2SP_036031_20160111_20200907_02_T1,LC08_L1TP_036031_20160111_20200907_02_T1,LC80360312016011LGN01,2016/01/11,T1,2, 036, 031, 036, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-11 17:55:15.134182,2016-01-11 17:55:46.904178,LGN,DAY,  26.85,  26.85,289,5,    9.757,    6.872,    6.927,LPGS_15.3.1c,23.39477206,158.25895684,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,12,WGS84,WGS84,41°45'34.38"N,108°24'18.18"W,42°49'19.31"N,109°45'29.92"W,42°45'28.04"N,106°58'11.46"W,40°43'51.89"N,109°47'52.84"W,40°40'16.90"N,107°05'53.99"W, 41.75955,-108.40505, 42.82203,-109.75831, 42.75779,-106.96985, 40.73108,-109.79801, 40.67136,-107.09833,LC08_L2SP_036031_20160111_20200907_02_T1,LC80360312016011LGN01
LC08_L2SP_036033_20160111_20200907_02_T1,LC08_L1TP_036033_20160111_20200907_02_T1,LC80360332016011LGN01,2016/01/11,T1,2, 036, 033, 036, 033,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-11 17:56:02.907784,2016-01-11 17:56:34.677781,LGN,DAY,  14.92,  14.92,807,5,    8.002,    5.695,    5.621,LPGS_15.3.1c,25.83035251,157.07218832,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,12,WGS84,WGS84,38°54'15.26"N,109°18'52.13"W,39°57'39.78"N,110°37'48.04"W,39°55'17.29"N,107°56'54.38"W,37°51'37.87"N,110°38'26.74"W,37°49'25.57"N,108°02'12.95"W, 38.90424,-109.31448, 39.96105,-110.63001, 39.92147,-107.94844, 37.86052,-110.64076, 37.82377,-108.03693,LC08_L2SP_036033_20160111_20200907_02_T1,LC80360332016011LGN01
LC08_L2SP_036034_20160111_20200907_02_T1,LC08_L1TP_036034_20160111_20200907_02_T1,LC80360342016011LGN01,2016/01/11,T1,2, 036, 034, 036, 034,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-11 17:56:26.794586,2016-01-11 17:56:58.564583,LGN,DAY,   9.57,   9.57,781,5,    9.189,    6.436,    6.559,LPGS_15.3.1c,27.04074890,156.46514736,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,12,WGS84,WGS84,37°28'27.88"N,109°44'53.12"W,38°31'44"N,111°02'49.34"W,38°30'01.30"N,108°24'54.94"W,36°25'30.32"N,111°02'44.66"W,36°23'55.10"N,108°29'11.87"W, 37.47441,-109.74809, 38.52889,-111.04704, 38.50036,-108.41526, 36.42509,-111.04574, 36.39864,-108.48663,LC08_L2SP_036034_20160111_20200907_02_T1,LC80360342016011LGN01
LC08_L2SP_034031_20160113_20200907_02_T1,LC08_L1TP_034031_20160113_20200907_02_T1,LC80340312016013LGN01,2016/01/13,T1,2, 034, 031, 034, 031,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-13 17:42:53.818921,2016-01-13 17:43:25.588918,LGN,DAY,  16.24,  16.24,281,5,    8.311,    5.851,    5.902,LPGS_15.3.1c,23.65006725,157.96449738,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,41°45'34.99"N,105°19'06.56"W,42°48'35.82"N,106°45'09.68"W,42°49'05.02"N,103°53'52.22"W,40°40'34.46"N,106°41'44.12"W,40°41'01.57"N,103°56'01.54"W, 41.75972,-105.31849, 42.80995,-106.75269, 42.81806,-103.89784, 40.67624,-106.69559, 40.68377,-103.93376,LC08_L2SP_034031_20160113_20200907_02_T1,LC80340312016013LGN01
LC08_L2SP_034034_20160113_20200907_02_T1,LC08_L1TP_034034_20160113_20200907_02_T1,LC80340342016013LGN01,2016/01/13,T1,2, 034, 034, 034, 034,NADIR,   0.000,2020/09/07,2020/09/07,2016-01-13 17:44:05.483562,2016-01-13 17:44:37.253558,LGN,DAY,  11.38,  11.38,300,5,    9.508,    6.388,    7.043,LPGS_15.3.1c,27.28351308,156.14873139,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,13,WGS84,WGS84,37°28'27.62"N,106°39'41.29"W,38°30'50.72"N,108°01'36.19"W,38°33'09.83"N,105°20'35.34"W,36°22'21.50"N,107°56'29.72"W,36°24'30.28"N,105°20'00.53"W, 37.47434,-106.66147, 38.51409,-108.02672, 38.55273,-105.34315, 36.37264,-107.94159, 36.40841,-105.33348,LC08_L2SP_034034_20160113_20200907_02_T1,LC80340342016013LGN01
